Thread ID: 214780
Total: 6.709303

 %self     total     self     wait    child    calls  name
  0.04      3.38     0.00     0.00     3.38      100  ActionController::Base#perform_action_without_filters
  0.04      0.05     0.00     0.00     0.05      100  ActionController::Layout#candidate_for_layout?
  0.04      0.00     0.00     0.00     0.00     1200  Kernel#kind_of?
  0.04      0.00     0.00     0.00     0.00      500  Kernel#inspect
  0.04      0.27     0.00     0.00     0.26      100  <Class::ActiveRecord::Base>#find_every
  0.04      0.00     0.00     0.00     0.00      200  Inflector#inflections_without_route_reloading
  0.04      0.00     0.00     0.00     0.00      300  <Class::ActiveRecord::Base>#current_scoped_methods
  0.04      0.00     0.00     0.00     0.00      400  Class#new-2
  0.04      0.00     0.00     0.00     0.00      500  <Class::File>#exist?
  0.04      0.00     0.00     0.00     0.00      100  ActionController::Flash::InstanceMethods#flash_without_components
  0.04      0.00     0.00     0.00     0.00      100  ActionController::AbstractResponse#convert_content_type!
  0.04      0.05     0.00     0.00     0.04      100  <Class::ActiveRecord::Base>#undecorated_table_name
  0.04      0.01     0.00     0.00     0.00      100  ActionController::Layout#action_has_layout?
  0.04      0.01     0.00     0.00     0.00      200  ActionController::Components::InstanceMethods#flash
  0.04      3.49     0.00     0.00     3.49      100  ActiveRecord::ConnectionAdapters::QueryCache#cache
  0.04      0.00     0.00     0.00     0.00      100  ActionView::Base#initialize
  0.04      0.02     0.00     0.00     0.02      100  CGI::Session::CookieStore#marshal
  0.04      0.16     0.00     0.00     0.15      100  ActionController::AbstractRequest#accepts
  0.04      0.00     0.00     0.00     0.00      100  ActionController::Integration::Session#requestify
  0.04      0.01     0.00     0.00     0.00      300  Kernel#extend
  0.04      0.00     0.00     0.00     0.00      100  CGI::Session::CookieStore#ensure_secret_secure
  0.04      0.01     0.00     0.00     0.01      100  Class#write_inheritable_hash
  0.04      0.01     0.00     0.00     0.00      100  <Class::ActiveRecord::Base>#set_readonly_option!
  0.04      0.20     0.00     0.00     0.20      200  ActionController::Dispatcher#run_callbacks
  0.04      6.71     0.00     0.00     6.71        1  Integer#times
  0.03      0.00     0.00     0.00     0.00      900  Hash#initialize
  0.03      0.00     0.00     0.00     0.00      300  Kernel#sprintf
  0.03      0.00     0.00     0.00     0.00      100  Module#class_eval
  0.03      0.04     0.00     0.00     0.03      200  ActionController::Layout::ClassMethods#layout_list
  0.03      0.00     0.00     0.00     0.00      100  <Module::Marshal>#dump
  0.03      0.01     0.00     0.00     0.00      100  ActionController::CgiRequest#query_string
  0.03      0.00     0.00     0.00     0.00     1100  String#size
  0.03      0.03     0.00     0.00     0.02      100  ActionView::Helpers::AssetTagHelper#stylesheet_tag
  0.03      0.00     0.00     0.00     0.00      100  ActionController::SessionManagement#clear_persistent_model_associations
  0.03      0.03     0.00     0.00     0.03      100  ActionController::Base#template_exempt_from_layout?
  0.03      0.00     0.00     0.00     0.00     1100  Class#superclass
  0.03      0.31     0.00     0.00     0.31      100  Set#initialize
  0.03      0.00     0.00     0.00     0.00      100  <Class::ActiveRecord::Base>#connection=-1
  0.03      0.02     0.00     0.00     0.01      400  ActionController::CgiRequest#session_options_with_string_keys
  0.03      0.00     0.00     0.00     0.00     1100  Array#size
  0.03      0.01     0.00     0.00     0.00      100  SQLite3::Driver::Native::Driver#initialize
  0.03      0.00     0.00     0.00     0.00      800  String#<<
  0.03      0.00     0.00     0.00     0.00      200  ActiveSupport::CoreExtensions::Array::ExtractOptions#extract_options!
  0.03      0.00     0.00     0.00     0.00     1100  Kernel#block_given?
  0.03      0.05     0.00     0.00     0.05      100  Dependencies#remove_unloadable_constants!
  0.03      0.00     0.00     0.00     0.00      700  Array#slice!
  0.03      6.57     0.00     0.00     6.57      100  ActionController::Dispatcher#dispatch_cgi
  0.03      0.00     0.00     0.00     0.00      100  ActionController::Flash::FlashHash#sweep
  0.03      0.00     0.00     0.00     0.00      200  Kernel#instance_variables
  0.03      0.01     0.00     0.00     0.01      100  ActionController::Base#complete_request_uri
  0.03      0.00     0.00     0.00     0.00      500  <Module::Dependencies>#mechanism
  0.03      0.19     0.00     0.00     0.18      400  Kernel#send!-2
  0.03      0.00     0.00     0.00     0.00     1003  Float#+
  0.03      0.00     0.00     0.00     0.00      500  <Class::ActionView::Base>#template_handler_extensions
  0.03      0.00     0.00     0.00     0.00      200  <Class::ActionView::Base>#handler_for_extension
  0.03      0.13     0.00     0.00     0.13      100  <Class::ActiveRecord::Base>#find_by_sql
  0.03      0.01     0.00     0.00     0.01      100  ActionController::Base#request_origin
  0.03      0.02     0.00     0.00     0.02      100  <Class::ActiveRecord::Base>#inherited
  0.03      0.30     0.00     0.00     0.30      100  Set#merge
  0.03      0.01     0.00     0.00     0.00      100  <Class::ActiveRecord::Base>#add_limit!
  0.03      0.01     0.00     0.00     0.01      100  ActionController::Dispatcher#reload_application
  0.03      0.00     0.00     0.00     0.00      100  SQLite3::ResultSet#check
  0.03      0.03     0.00     0.00     0.02      100  <Class::CGI::Cookie>#parse
